# GsakName=Andorra la Vella
# This County polygon is based on data © OpenStreetMap contributors
# The OpenStreetMap data is made available under the Open Database License, see http://www.openstreetmap.org/copyright
# This polygon file is made available under the same Open Database License: http://opendatacommons.org/licenses/odbl/1.0/.
# Bounding Box: 42.5228659,42.4687463,1.5591178,1.4603314
42.5067476,1.5342041
42.5064957,1.534248
42.5061088,1.5342218
42.5003043,1.5336537
42.4944805,1.5441113
42.4916504,1.54845
42.488451,1.5502857
42.4853745,1.5534007
42.4818466,1.5546244
42.47383,1.5591178
42.4687463,1.5493625
42.4712559,1.5409059
42.4763779,1.5262444
42.4778721,1.4911179
42.4846416,1.4773676
42.4965186,1.4708747
42.4995176,1.4661799
42.5044744,1.4603314
42.5052725,1.4607144
42.5059116,1.4614809
42.5094457,1.4668285
42.5099956,1.4683974
42.510959,1.471046
42.51211,1.475059
42.512553,1.476285
42.512621,1.476778
42.512287,1.47926
42.512543,1.480161
42.513418,1.481707
42.513619,1.483104
42.513981,1.487465
42.513934,1.488539
42.513707,1.489781
42.513667,1.491431
42.5143139,1.4943357
42.5139161,1.4954487
42.514227,1.496943
42.515217,1.497991
42.516091,1.499537
42.51661,1.501916
42.516817,1.503808
42.51708,1.505286
42.517397,1.506186
42.518504,1.506902
42.521701,1.513506
42.521785,1.515319
42.522371,1.518191
42.52277,1.520739
42.5228659,1.5215088
42.5219527,1.5219094
42.5215824,1.5222301
42.5212775,1.5228552
42.5209762,1.523091
42.5200948,1.5235033
42.5193061,1.5237163
42.5185944,1.524701
42.5174098,1.5259591
42.5165049,1.5279797
42.5164085,1.5285269
42.5157808,1.5294129
42.5159338,1.5295157
42.515346,1.5304313
42.5141595,1.531923
42.5126564,1.5333388
42.5122377,1.5327804
42.5112563,1.5332629
42.5111211,1.5334331
42.5107332,1.5336558
42.5104798,1.5333503
42.509811,1.5338023
42.509692,1.533863
42.5084671,1.5341177
42.5080579,1.5341695
42.5067476,1.5342041
