43.58508,-79.53616
43.58595,-79.53735
43.58797,-79.53807
43.59017,-79.54219
43.59071,-79.54384
43.59179,-79.54562
43.59303,-79.54853
43.59376,-79.55054
43.59562,-79.55336
43.59643,-79.55498
43.59759,-79.55657
43.59995,-79.55858
43.60184,-79.56026
43.60445,-79.56187
43.60835,-79.56407
43.61101,-79.56491
43.61354,-79.56518
43.61603,-79.56452
43.61779,-79.56373
43.62033,-79.56229
43.62204,-79.56039
43.62328,-79.56004
43.62383,-79.56017
43.62477,-79.56102
43.62535,-79.56171
43.62577,-79.56281
43.62617,-79.56353
43.62582,-79.56547
43.62554,-79.56703
43.62484,-79.5692
43.6244,-79.57117
43.62408,-79.57368
43.62407,-79.57521
43.62437,-79.57574
43.62543,-79.57715
43.62704,-79.57868
43.63066,-79.58054
43.6341,-79.58262
43.63663,-79.58442
43.63813,-79.5873
43.63895,-79.59101
43.63906,-79.5931
43.63933,-79.59479
43.63944,-79.59706
43.63945,-79.59897
43.64029,-79.60116
43.6407,-79.60225
43.64301,-79.60332
43.64414,-79.60417
43.64526,-79.60311
43.66577,-79.58686
43.74047,-79.63005
43.74734,-79.63404
43.76018,-79.58062
43.7999,-79.41395
43.80174,-79.40613
43.81952,-79.33126
43.85966,-79.16108
43.85534, -79.17029, 
43.84391, -79.16505, 
43.82993, -79.15901, 
43.81414, -79.15187, 
43.81408, -79.15174, 
43.81406, -79.15161, 
43.81405, -79.15152, 
43.81403, -79.15144, 
43.81402, -79.15137, 
43.81400, -79.15129, 
43.81398, -79.15122, 
43.81393, -79.15118, 
43.81388, -79.15111, 
43.81384, -79.15106, 
43.81380, -79.15102, 
43.81374, -79.15099, 
43.81369, -79.15096, 
43.81362, -79.15093, 
43.81356, -79.15089, 
43.81349, -79.15085, 
43.81344, -79.15080, 
43.81340, -79.15075, 
43.81336, -79.15068, 
43.81332, -79.15063, 
43.81328, -79.15055, 
43.81324, -79.15047, 
43.81321, -79.15036, 
43.81320, -79.15034, 
43.81301, -79.15007, 
43.81295, -79.15000, 
43.81290, -79.14996, 
43.81286, -79.14991, 
43.81282, -79.14988, 
43.81276, -79.14981, 
43.81272, -79.14974, 
43.81268, -79.14968, 
43.81264, -79.14962, 
43.81258, -79.14953, 
43.81252, -79.14944, 
43.81249, -79.14938, 
43.81246, -79.14931, 
43.81244, -79.14923, 
43.81241, -79.14918, 
43.81237, -79.14910, 
43.81237, -79.14904, 
43.81236, -79.14894, 
43.81236, -79.14884, 
43.81238, -79.14875, 
43.81238, -79.14865, 
43.81239, -79.14856, 
43.81237, -79.14847, 
43.81235, -79.14839, 
43.81234, -79.14829, 
43.81232, -79.14819, 
43.81231, -79.14812, 
43.81230, -79.14810, 
43.81229, -79.14800, 
43.81225, -79.14794, 
43.81212, -79.14780, 
43.81207, -79.14776, 
43.81203, -79.14770, 
43.81198, -79.14765, 
43.81194, -79.14761, 
43.81190, -79.14754, 
43.81185, -79.14746, 
43.81182, -79.14737, 
43.81178, -79.14731, 
43.81174, -79.14723, 
43.81169, -79.14718, 
43.81166, -79.14712, 
43.81162, -79.14707, 
43.81156, -79.14700, 
43.81152, -79.14694, 
43.81147, -79.14688, 
43.81142, -79.14683, 
43.81137, -79.14675, 
43.81132, -79.14669, 
43.81128, -79.14663, 
43.81124, -79.14652, 
43.81122, -79.14647, 
43.81120, -79.14638, 
43.81117, -79.14630, 
43.81115, -79.14626, 
43.81112, -79.14618, 
43.81108, -79.14611, 
43.81102, -79.14606, 
43.81097, -79.14604, 
43.81091, -79.14601, 
43.81085, -79.14599, 
43.81080, -79.14599, 
43.81074, -79.14598, 
43.81069, -79.14597, 
43.81065, -79.14597, 
43.81058, -79.14601, 
43.81046, -79.14607, 
43.81039, -79.14610, 
43.81032, -79.14610, 
43.81031, -79.14610, 
43.81019, -79.14612, 
43.81014, -79.14612, 
43.81009, -79.14610, 
43.81002, -79.14607, 
43.80996, -79.14601, 
43.80995, -79.14597, 
43.80995, -79.14587, 
43.80995, -79.14579, 
43.80995, -79.14574, 
43.80994, -79.14562, 
43.80995, -79.14553, 
43.80996, -79.14545, 
43.80997, -79.14539, 
43.80998, -79.14530, 
43.80998, -79.14522, 
43.80998, -79.14516, 
43.80997, -79.14505, 
43.80997, -79.14496, 
43.80999, -79.14486, 
43.81001, -79.14479, 
43.81002, -79.14470, 
43.81003, -79.14461, 
43.81003, -79.14453, 
43.81004, -79.14443, 
43.81005, -79.14436, 
43.81006, -79.14426, 
43.81007, -79.14421, 
43.81007, -79.14410, 
