# GsakName=Belgium
# This Country polygon is based on data © OpenStreetMap contributors
# The OpenStreetMap data is made available under the Open Database License, see http://www.openstreetmap.org/copyright
# This polygon file is made available under the same Open Database License: http://opendatacommons.org/licenses/odbl/1.0/.
# Bounding Box: 51.4188619,51.4174536,4.8413644,4.8387503
51.4181784,4.8387503
51.4182236,4.8388086
51.4187864,4.8399846
51.4187888,4.8399895
51.4188007,4.8400145
51.418792,4.8400831
51.4187979,4.8401437
51.4188493,4.8403214
51.4188619,4.8403891
51.4188384,4.8404686
51.4187995,4.840537
51.4187536,4.8405603
51.4186456,4.8405123
51.4185228,4.8403905
51.4184815,4.8403731
51.4184618,4.8403911
51.4184469,4.8404178
51.4184007,4.8405034
51.418349,4.8405578
51.4182934,4.8405591
51.4182464,4.8405168
51.418134,4.8404864
51.4180818,4.8404945
51.4180467,4.840535
51.4180165,4.8405939
51.41798,4.8407002
51.4179402,4.8408735
51.4179058,4.8410531
51.4178835,4.8412188
51.4178905,4.8413216
51.4178964,4.8413644
51.4178722,4.8413366
51.4178485,4.8413095
51.4176979,4.8411372
51.4174536,4.8408575
51.4178964,4.8395648
51.4181784,4.8387503
