# GsakName=Denmark
# This Country polygon is based on data © OpenStreetMap contributors
# The OpenStreetMap data is made available under the Open Database License, see http://www.openstreetmap.org/copyright
# This polygon file is made available under the same Open Database License: http://opendatacommons.org/licenses/odbl/1.0/.
# Bounding Box: 57.9524297,54.4516667,12.9058301,7.7153255
54.8370717,9.4829269
54.8316638,9.4629539
54.8333102,9.4601121
54.8326867,9.4493798
54.8280068,9.4377719
54.8270495,9.4351372
54.827129,9.428693
54.8314845,9.421056
54.8319761,9.4204088
54.8324896,9.4194926
54.8321789,9.4179925
54.8327735,9.4175378
54.8332678,9.4166102
54.8338015,9.4162292
54.8358541,9.4164667
54.8364818,9.4184527
54.8370801,9.4179501
54.8380411,9.4180869
54.8387547,9.4171542
54.838446,9.4166938
54.8397287,9.4151872
54.840692,9.4137337
54.8410904,9.4127302
54.8421601,9.4111914
54.8426133,9.4082949
54.8421735,9.4069847
54.8388523,9.4036517
54.8404589,9.4026671
54.8398068,9.399737
54.8391492,9.3978104
54.8392704,9.3970647
54.8387011,9.3954042
54.8383577,9.390698
54.8383878,9.3874911
54.8391903,9.3828355
54.8374624,9.3808851
54.8354679,9.3815137
54.8353897,9.381101
54.8350458,9.3806724
54.8343633,9.3803395
54.8330748,9.378889
54.8335347,9.3769739
54.8338041,9.3764822
54.8337907,9.3758049
54.8333357,9.3759211
54.83332,9.3747499
54.8320343,9.3747441
54.8312762,9.3742212
54.8291989,9.3762178
54.8287311,9.3756956
54.8268956,9.3749572
54.8259677,9.3754815
54.8244693,9.3739213
54.8234451,9.3741892
54.8218693,9.3727309
54.821125,9.3738623
54.8195701,9.3709376
54.8190818,9.3707093
54.8191096,9.3699138
54.8192694,9.369563
54.8191275,9.367838
54.8189371,9.3672101
54.8183913,9.3669883
54.8183871,9.3657403
54.8179598,9.3659929
54.8172878,9.3639024
54.8165516,9.3627766
54.8153037,9.3634462
54.8151753,9.3627516
54.8159851,9.3622907
54.815992,9.3616173
54.8162373,9.3608636
54.8153474,9.3565705
54.8142262,9.3546489
54.8100796,9.3503417
54.8066914,9.3464432
54.8071252,9.3432516
54.8036154,9.3420464
54.8021437,9.3454301
54.8002305,9.3436963
54.8042114,9.3304172
54.8056128,9.3294584
54.8077107,9.3077676
54.8088975,9.2935208
54.8061619,9.2920661
54.8031591,9.2955591
54.8016748,9.2949392
54.8042936,9.2863848
54.8096592,9.2842463
54.8098139,9.2812407
54.8117874,9.273329
54.8121447,9.2704946
54.8112432,9.2665899
54.8108699,9.2657179
54.8107087,9.2645246
54.8105674,9.2580689
54.810027,9.2533735
54.8096796,9.2501078
54.8148977,9.2472963
54.8148217,9.2467953
54.8168355,9.2457245
54.8172134,9.2460284
54.821089,9.2425629
54.8256555,9.2390515
54.8278302,9.2375677
54.8280322,9.2377856
54.8292181,9.2371507
54.8291311,9.2365428
54.8311328,9.235427
54.8313698,9.2360359
54.8332846,9.2358329
54.8332846,9.235159
54.8349864,9.234956
54.8354893,9.235281
54.838984,9.2387384
54.8437853,9.244899
54.8499569,9.2403029
54.8535754,9.223528
54.8590032,9.205189
54.859114,9.2044579
54.8590087,9.1959295
54.8592048,9.1946175
54.8602678,9.1918325
54.8610969,9.1877998
54.8611951,9.1876482
54.8630467,9.1862545
54.8632732,9.1858204
54.8661009,9.1727236
54.8686012,9.1619921
54.8688361,9.1602948
54.870813,9.1548828
54.8712191,9.153041
54.8713796,9.1514827
54.872081,9.1486063
54.87301,9.1430294
54.8730315,9.1419247
54.8737238,9.1365211
54.8726231,9.1232307
54.8729762,9.1176603
54.8732935,9.1154947
54.8736497,9.1133286
54.8740194,9.11041
54.8719217,9.099225
54.8719859,9.0955849
54.870516,9.0923845
54.8701755,9.0906024
54.8706651,9.0858238
54.8716306,9.0790121
54.8718588,9.0761016
54.8711699,9.0717015
54.8713958,9.0682124
54.8711342,9.0635221
54.8712939,9.0626116
54.8728457,9.058241
54.8729555,9.0572698
54.8719525,9.0486155
54.8720473,9.0476789
54.8757483,9.0365762
54.8782348,9.0291273
54.8786033,9.0289654
54.8800651,9.0298412
54.8803843,9.0296851
54.8813563,9.0272832
54.886525,9.0145097
54.8922035,8.9839905
54.8957917,8.9775512
54.8967419,8.9730935
54.8981148,8.9669728
54.8982799,8.9655404
54.8995992,8.9633172
54.8996722,8.9626133
54.9005721,8.9595278
54.900774,8.9581211
54.901225,8.9570932
54.901267,8.9563633
54.900935,8.9555335
54.9014989,8.9548076
54.9016139,8.9539527
54.9015449,8.9529229
54.9025488,8.9478777
54.9024648,8.9452891
54.9025678,8.9425495
54.9024108,8.9388591
54.9034716,8.9234116
54.9025747,8.921151
54.9026937,8.9191153
54.9029107,8.9183865
54.9026517,8.9175316
54.9030866,8.9167287
54.9024107,8.9155469
54.9024107,8.9144911
