# GsakName=Germany
# This Country polygon is based on data © OpenStreetMap contributors
# The OpenStreetMap data is made available under the Open Database License, see http://www.openstreetmap.org/copyright
# This polygon file is made available under the same Open Database License: http://opendatacommons.org/licenses/odbl/1.0/.
# Bounding Box: 50.5906134,50.536102,6.2425134,6.1740833
50.5872225,6.2404998
50.5874943,6.2394566
50.5877201,6.2386369
50.5902761,6.2401718
50.590521,6.2408413
50.5901429,6.2424547
50.5902322,6.2425134
50.5902534,6.2424401
50.5906134,6.2410895
50.5904599,6.2402921
50.5877462,6.2385497
50.5877455,6.2381496
50.590214,6.2291491
50.5903549,6.2282432
50.5904349,6.2251936
50.5879522,6.2236799
50.5870323,6.222506
50.5853735,6.2223921
50.5845686,6.2220801
50.581436,6.2190785
50.580673,6.2173238
50.5796052,6.215865
50.5782553,6.2129404
50.5763475,6.2080552
50.5761565,6.2071833
50.5762635,6.2062174
50.5752037,6.2059985
50.5746077,6.2064604
50.5730859,6.2050486
50.572319,6.2036668
50.5715561,6.2036048
50.5711901,6.2044497
50.5694583,6.2032678
50.565609,6.1922074
50.5654993,6.192145
50.5660383,6.1893842
50.565847,6.1892587
50.5652232,6.1888732
50.5644771,6.1893401
50.5641915,6.1886689
50.5642615,6.1883185
50.5643832,6.1877629
50.5643944,6.1869792
50.5642056,6.1863714
50.5633194,6.1858323
50.5630758,6.1853992
50.5629205,6.1843357
50.561971,6.1837109
50.5616419,6.182425
50.5607254,6.1814663
50.5606917,6.1813767
50.5601755,6.1800204
50.5594794,6.1789574
50.5588363,6.1777382
50.5581315,6.1759632
50.5579336,6.174674
50.5575036,6.1743094
50.5563913,6.1740833
50.5560244,6.1760437
50.5550199,6.1771417
50.5539481,6.1784686
50.5538671,6.1785065
50.5500264,6.1784061
50.5498298,6.1784012
50.54588,6.1782815
50.544901,6.1782459
50.5418235,6.1781336
50.5415344,6.1781215
50.5415764,6.1788734
50.5414015,6.1795323
50.5411795,6.1796593
50.5411035,6.1803132
50.5415046,6.1848216
50.5405126,6.1877881
50.5405166,6.188508
50.5392917,6.1893829
50.5375939,6.1923744
50.536102,6.1957549
50.5361475,6.1980509
50.5365741,6.1980521
50.539076,6.197803
50.5393966,6.1975351
50.539526,6.1977486
50.5403376,6.1978677
50.5418416,6.200135
50.5436051,6.2011301
50.5441698,6.2018846
50.5446466,6.2026854
50.5453779,6.2056524
50.5467711,6.2073511
50.5495622,6.2078279
50.5503352,6.2087721
50.5513211,6.2093739
50.5521219,6.2096979
50.5532004,6.2096701
50.5541585,6.2101515
50.5548172,6.2108929
50.5562276,6.2137931
50.5565381,6.2152377
50.5565639,6.2167126
50.5564193,6.2176734
50.5554223,6.2196725
50.554916,6.2209484
50.5547921,6.2217517
50.5547714,6.2230999
50.555195,6.2246341
50.5557249,6.2255786
50.5567555,6.2264677
50.5607433,6.2266141
50.5613926,6.2270135
50.5623335,6.2266923
50.562468,6.2270611
50.562112,6.2272435
50.5635604,6.2294759
50.5646226,6.2318874
50.5651914,6.2337714
50.5650338,6.2342502
50.5652224,6.2343846
50.5654117,6.2338425
50.5651044,6.2329782
50.5654784,6.2336123
50.5653437,6.2344482
50.5661026,6.2352864
50.5674799,6.2360245
50.5700104,6.2359149
50.5724539,6.2361908
50.5730923,6.2364194
50.5746688,6.2378934
50.5772147,6.2391072
50.5783261,6.2392176
50.5806954,6.2388725
50.5826364,6.2390991
50.5851386,6.2395709
50.5872225,6.2404998
